*******************************
課題1 : 佐野和輝 163334
ファイル名：news4.txt
英語ニュースからの単語切り出し
*******************************
  単語：a	出現回数：10
  単語：about	出現回数：4
  単語：accelerate	出現回数：1
  単語：acquisitions	出現回数：2
  単語：acre	出現回数：1
  単語：across	出現回数：1
  単語：acuras	出現回数：1
  単語：adler	出現回数：1
  単語：alexandria	出現回数：1
  単語：already	出現回数：2
  単語：also	出現回数：1
  単語：am	出現回数：1
  単語：americas	出現回数：1
  単語：and	出現回数：11
  単語：are	出現回数：2
  単語：as	出現回数：2
  単語：assist	出現回数：1
  単語：at	出現回数：2
  単語：auto	出現回数：1
  単語：automaker	出現回数：1
  単語：automation	出現回数：1
  単語：autonomous	出現回数：7
  単語：autonomy	出現回数：1
  単語：be	出現回数：1
  単語：been	出現回数：3
  単語：behind	出現回数：1
  単語：being	出現回数：1
  単語：besides	出現回数：1
  単語：big	出現回数：1
  単語：billion	出現回数：2
  単語：bought	出現回数：1
  単語：building	出現回数：1
  単語：but	出現回数：1
  単語：by	出現回数：5
  単語：calif	出現回数：1
  単語：california	出現回数：1
  単語：car	出現回数：1
  単語：carmakers	出現回数：1
  単語：cars	出現回数：4
  単語：cede	出現回数：1
  単語：centered	出現回数：1
  単語：chief	出現回数：1
  単語：civic	出現回数：1
  単語：co	出現回数：1
  単語：collision	出現回数：1
  単語：committed	出現回数：2
  単語：companies	出現回数：1
  単語：company	出現回数：1
  単語：concept	出現回数：1
  単語：concord	出現回数：1
  単語：costs	出現回数：1
  単語：cruise	出現回数：1
  単語：current	出現回数：1
  単語：deliver	出現回数：1
  単語：democratize	出現回数：1
  単語：departure	出現回数：1
  単語：develop	出現回数：1
  単語：development	出現回数：2
  単語：differentiator	出現回数：1
  単語：differs	出現回数：1
  単語：driverless	出現回数：1
  単語：driving	出現回数：6
  単語：easy	出現回数：1
  単語：editing	出現回数：1
  単語：edt	出現回数：1
  単語：efforts	出現回数：1
  単語：engineer	出現回数：1
  単語：everyone	出現回数：1
  単語：facility	出現回数：1
  単語：features	出現回数：2
  単語：five	出現回数：1
  単語：for	出現回数：8
  単語：former	出現回数：1
  単語：forward	出現回数：1
  単語：francisco	出現回数：1
  単語：french	出現回数：1
  単語：from	出現回数：1
  単語：full	出現回数：1
  単語：functionality	出現回数：1
  単語：functions	出現回数：2
